date,open,high,low,close,volume
2018-04-04 09:15:00,221.78,222.36,215.0,215.66,6525390.0
2018-04-05 09:15:00,218.38,224.2,216.9,223.66,9938470.0
2018-04-06 09:15:00,223.2,224.6,220.4,223.84,6466925.0
2018-04-09 09:15:00,223.98,227.5,223.0,223.65,9255470.0
2018-04-10 09:15:00,224.0,226.98,222.08,222.73,5992515.0
2018-04-11 09:15:00,222.0,225.8,222.0,225.22,4416230.0
2018-04-12 09:15:00,224.72,227.47,222.7,226.92,6722045.0
2018-04-13 09:15:00,227.78,231.41,227.42,230.22,14760390.0
2018-04-16 09:15:00,229.5,235.0,229.0,234.42,8126910.0
2018-04-17 09:15:00,235.2,235.5,232.12,232.97,4562910.0
2018-04-18 09:15:00,233.5,233.5,230.23,230.79,4448050.0
2018-04-19 09:15:00,232.0,233.12,230.22,230.78,3303645.0
2018-04-20 09:15:00,230.17,232.8,229.01,230.57,6090280.0
2018-04-23 09:15:00,231.74,235.43,230.65,233.8,6770770.0
2018-04-24 09:15:00,234.49,234.49,230.73,233.2,4961760.0
2018-04-25 09:15:00,232.8,234.1,230.13,233.57,6258845.0
2018-04-26 09:15:00,233.8,238.55,232.21,237.14,15984510.0
2018-04-27 09:15:00,238.0,241.4,235.69,237.75,9081330.0
2018-04-30 09:15:00,239.79,243.76,238.68,242.22,17153405.0
2018-05-02 09:15:00,246.4,257.68,244.64,251.37,44457135.0
2018-05-03 09:15:00,251.0,252.64,245.17,246.71,14888205.0
2018-05-04 09:15:00,248.04,248.05,242.82,246.69,9572795.0
2018-05-07 09:15:00,247.0,249.74,245.88,249.01,11527340.0
2018-05-08 09:15:00,249.5,249.5,245.16,248.37,13371440.0
2018-05-09 09:15:00,248.34,251.06,246.58,250.23,8356080.0
2018-05-10 09:15:00,250.9,252.0,248.58,249.5,4922335.0
2018-05-11 09:15:00,250.0,254.48,249.61,253.46,7081180.0
2018-05-14 09:15:00,253.6,257.63,251.25,254.32,8371965.0
2018-05-15 09:15:00,254.8,260.89,251.85,256.77,19896975.0
2018-05-16 09:15:00,254.4,258.61,253.0,256.28,6905970.0
2018-05-17 09:15:00,257.0,259.2,253.0,254.14,11007855.0
2018-05-18 09:15:00,253.6,259.41,253.4,258.88,16842745.0
2018-05-21 09:15:00,259.99,259.99,253.91,255.33,9994395.0
2018-05-22 09:15:00,255.36,256.85,251.73,252.54,6788225.0
2018-05-23 09:15:00,252.0,252.99,248.4,251.07,7563955.0
2018-05-24 09:15:00,250.1,255.91,249.23,255.09,7862165.0
2018-05-25 09:15:00,255.59,261.37,254.5,259.17,5328215.0
2018-05-28 09:15:00,260.0,261.94,257.96,259.43,7639045.0
2018-05-29 09:15:00,259.42,260.18,255.69,256.85,5472950.0
2018-05-30 09:15:00,255.37,261.68,254.06,260.65,10222160.0
2018-05-31 09:15:00,261.38,280.0,260.29,266.92,33424490.0
2018-06-01 09:15:00,263.4,266.8,261.43,263.6,11663440.0
2018-06-04 09:15:00,266.8,266.8,258.6,260.79,7310235.0
2018-06-05 09:15:00,260.79,262.53,259.44,260.94,10427190.0
2018-06-06 09:15:00,261.4,264.19,260.0,263.14,5151345.0
2018-06-07 09:15:00,264.8,266.94,261.3,262.09,10246015.0
2018-06-08 09:15:00,261.6,264.99,260.25,263.67,9240235.0
2018-06-11 09:15:00,264.8,265.97,263.8,264.67,6556110.0
2018-06-12 09:15:00,265.8,266.53,264.02,265.86,4888760.0
2018-06-13 09:15:00,266.28,266.32,262.53,265.13,7476990.0
2018-06-14 09:15:00,264.99,267.61,263.9,266.53,7921145.0
2018-06-15 09:15:00,266.52,268.9,264.47,268.0,8291175.0
2018-06-18 09:15:00,268.0,268.2,262.35,263.06,9018440.0
2018-06-19 09:15:00,263.06,264.43,260.04,260.65,8084725.0
2018-06-20 09:15:00,261.8,265.68,259.81,264.92,5626690.0
2018-06-21 09:15:00,266.4,266.4,262.22,262.79,4577330.0
2018-06-22 09:15:00,263.65,264.8,261.69,264.28,6336050.0
2018-06-25 09:15:00,264.2,267.0,263.0,265.6,5256485.0
2018-06-26 09:15:00,264.4,268.42,264.03,265.97,8185110.0
2018-06-27 09:15:00,266.4,267.96,264.02,264.84,6542350.0
2018-06-28 09:15:00,263.8,269.98,262.42,267.82,21541805.0
2018-06-29 09:15:00,267.2,272.0,267.06,268.59,11526965.0
2018-07-02 09:15:00,269.77,270.88,266.4,267.59,6508435.0
2018-07-03 09:15:00,267.4,271.4,265.52,270.63,7436185.0
2018-07-04 09:15:00,271.02,273.98,269.27,273.05,6738890.0
2018-07-05 09:15:00,274.6,275.51,272.7,273.0,9070555.0
2018-07-06 09:15:00,271.64,275.36,271.64,274.24,5210920.0
2018-07-09 09:15:00,274.98,277.55,273.5,277.02,9378320.0
2018-07-10 09:15:00,277.23,277.72,273.24,274.43,7380115.0
2018-07-11 09:15:00,274.37,277.97,273.4,277.39,7236090.0
2018-07-12 09:15:00,278.98,280.1,276.44,277.96,7998395.0
2018-07-13 09:15:00,277.05,282.38,277.05,280.87,7195995.0
2018-07-16 09:15:00,281.96,283.4,279.64,281.69,7525645.0
2018-07-17 09:15:00,281.69,283.15,278.64,280.12,7246275.0
2018-07-18 09:15:00,280.8,281.59,278.44,280.57,6865075.0
2018-07-19 09:15:00,281.6,281.6,266.77,269.48,30066400.0
2018-07-20 09:15:00,268.0,273.31,266.2,266.66,16529215.0
2018-07-23 09:15:00,266.0,270.2,264.46,267.41,9788330.0
2018-07-24 09:15:00,268.4,269.79,261.03,262.45,15629820.0
2018-07-25 09:15:00,261.8,263.5,258.8,262.98,15585390.0
2018-07-26 09:15:00,262.33,264.5,258.87,262.25,18322485.0
2018-07-27 09:15:00,262.61,265.4,261.13,262.22,9429105.0
2018-07-30 09:15:00,261.58,261.58,257.1,261.05,8601690.0
2018-07-31 09:15:00,260.76,262.72,257.43,261.37,9138695.0
2018-08-01 09:15:00,260.97,265.22,260.97,262.54,8422445.0
2018-08-02 09:15:00,261.93,262.2,255.34,256.04,10325285.0
2018-08-03 09:15:00,259.4,262.8,257.87,261.9,13728745.0
2018-08-06 09:15:00,262.79,262.8,255.8,256.56,9478805.0
2018-08-07 09:15:00,257.4,259.78,254.83,256.74,8756960.0
2018-08-08 09:15:00,257.6,259.94,256.51,257.66,7585360.0
2018-08-09 09:15:00,258.4,258.4,254.02,255.45,7113895.0
2018-08-10 09:15:00,254.61,257.98,254.4,257.1,7697420.0
2018-08-13 09:15:00,255.0,258.25,255.0,257.43,9906555.0
2018-08-14 09:15:00,258.0,259.76,257.0,258.6,8026645.0
2018-08-16 09:15:00,254.0,254.4,248.55,249.08,28747470.0
2018-08-17 09:15:00,250.4,254.79,249.0,252.65,16269850.0
2018-08-20 09:15:00,252.65,256.05,252.29,254.95,5273715.0
2018-08-21 09:15:00,253.85,254.52,252.05,252.68,5717355.0
2018-08-23 09:15:00,252.8,252.8,247.6,249.54,15759965.0
2018-08-24 09:15:00,249.78,252.79,248.47,250.9,11071805.0
2018-08-27 09:15:00,252.01,256.99,251.66,254.98,12497515.0
2018-08-28 09:15:00,255.88,259.0,255.03,257.02,8043980.0
2018-08-29 09:15:00,256.43,259.0,255.0,257.72,7367820.0
2018-08-30 09:15:00,256.4,256.4,252.68,255.61,11864215.0
2018-08-31 09:15:00,255.11,258.8,255.11,257.45,7848165.0
2018-09-03 09:15:00,258.4,259.0,253.0,253.82,10383735.0
2018-09-04 09:15:00,254.0,255.06,250.22,251.52,10007445.0
2018-09-05 09:15:00,251.4,253.2,245.52,247.63,11312730.0
2018-09-06 09:15:00,248.4,252.92,247.63,252.18,14738165.0
2018-09-07 09:15:00,251.4,252.0,247.62,248.99,7261450.0
2018-09-10 09:15:00,248.2,248.3,243.0,244.67,12189100.0
2018-09-11 09:15:00,245.4,245.53,240.75,241.28,11436865.0
2018-09-12 09:15:00,241.2,246.75,240.0,246.08,10526440.0
2018-09-14 09:15:00,248.0,248.93,245.71,247.91,9606245.0
2018-09-17 09:15:00,245.53,247.78,244.33,246.08,9308395.0
2018-09-18 09:15:00,245.59,246.77,242.1,243.06,11353325.0
2018-09-19 09:15:00,243.4,246.8,243.4,245.38,10385120.0
2018-09-21 09:15:00,245.4,249.2,228.6,236.04,22665640.0
2018-09-24 09:15:00,236.0,236.59,228.86,229.74,17288950.0
2018-09-25 09:15:00,229.2,238.22,224.03,236.67,18880355.0
2018-09-26 09:15:00,237.22,237.73,232.26,233.88,12230885.0
2018-09-27 09:15:00,234.4,235.43,227.79,228.49,19836580.0
2018-09-28 09:15:00,229.4,232.6,226.67,228.32,17108015.0
2018-10-01 09:15:00,218.0,226.16,200.44,224.4,52675400.0
2018-10-03 09:15:00,223.38,227.71,217.22,219.65,14809870.0
2018-10-04 09:15:00,217.0,218.91,211.32,214.9,17195555.0
