date,open,high,low,close,volume
2018-04-04 09:15:00,247.6,248.3,242.19,244.01,67015.0
2018-04-05 09:15:00,246.0,248.45,237.0,240.47,131865.0
2018-04-06 09:15:00,242.0,245.95,239.01,240.42,89695.0
2018-04-09 09:15:00,240.6,242.38,239.41,241.51,31640.0
2018-04-10 09:15:00,242.88,248.0,240.5,243.02,160040.0
2018-04-11 09:15:00,243.8,246.71,242.6,245.41,67200.0
2018-04-12 09:15:00,245.41,248.18,244.2,247.9,185590.0
2018-04-13 09:15:00,249.39,251.0,244.76,249.18,231435.0
2018-04-16 09:15:00,247.73,249.24,242.41,244.19,223555.0
2018-04-17 09:15:00,244.32,249.73,242.83,248.78,88790.0
2018-04-18 09:15:00,249.99,249.99,242.42,245.5,90960.0
2018-04-19 09:15:00,246.0,246.8,243.0,244.34,215680.0
2018-04-20 09:15:00,245.83,245.84,239.02,240.95,299395.0
2018-04-23 09:15:00,241.2,243.6,239.82,242.52,1230380.0
2018-04-24 09:15:00,242.56,248.07,242.21,246.7,115705.0
2018-04-25 09:15:00,247.0,248.2,242.61,244.37,102575.0
2018-04-26 09:15:00,244.46,246.0,242.8,244.45,42825.0
2018-04-27 09:15:00,245.23,245.99,240.2,241.16,79585.0
2018-04-30 09:15:00,243.0,250.0,239.21,248.17,105200.0
2018-05-02 09:15:00,246.13,250.0,243.0,247.63,331020.0
2018-05-03 09:15:00,244.52,247.43,240.92,241.59,60435.0
2018-05-04 09:15:00,241.0,244.03,239.0,241.12,83345.0
2018-05-07 09:15:00,241.12,250.0,238.2,244.12,126680.0
2018-05-08 09:15:00,243.2,244.94,235.91,242.67,376425.0
2018-05-09 09:15:00,241.2,246.98,238.0,245.02,71505.0
2018-05-10 09:15:00,246.1,247.43,242.22,245.83,78175.0
2018-05-11 09:15:00,244.35,250.6,241.37,248.51,91460.0
2018-05-14 09:15:00,248.0,248.0,240.0,241.31,146130.0
2018-05-15 09:15:00,240.57,245.78,231.4,237.84,1011885.0
2018-05-16 09:15:00,239.0,239.23,234.6,236.19,263560.0
2018-05-17 09:15:00,237.6,238.02,233.99,234.86,1111015.0
2018-05-18 09:15:00,234.16,248.78,230.5,239.73,416875.0
2018-05-21 09:15:00,239.0,241.88,234.44,237.0,164195.0
2018-05-22 09:15:00,236.08,236.57,230.4,234.89,1093330.0
2018-05-23 09:15:00,235.0,236.0,232.56,234.0,180050.0
2018-05-24 09:15:00,234.0,236.9,233.95,235.57,21135.0
2018-05-25 09:15:00,235.17,236.59,228.81,233.9,280335.0
2018-05-28 09:15:00,234.5,239.6,226.3,233.82,563210.0
2018-05-29 09:15:00,235.01,254.0,232.51,250.45,430310.0
2018-05-30 09:15:00,242.3,262.0,241.92,259.41,1298850.0
2018-05-31 09:15:00,260.0,264.96,249.2,253.95,508420.0
2018-06-01 09:15:00,252.04,252.6,240.0,243.38,271990.0
2018-06-04 09:15:00,244.24,249.74,236.57,239.79,1602735.0
2018-06-05 09:15:00,237.2,240.99,235.04,239.8,876720.0
2018-06-06 09:15:00,240.0,245.0,236.01,242.31,155550.0
2018-06-07 09:15:00,241.72,244.73,239.12,242.85,518470.0
2018-06-08 09:15:00,245.2,245.2,238.21,240.03,403555.0
2018-06-11 09:15:00,241.0,244.0,236.57,239.67,133185.0
2018-06-12 09:15:00,239.56,251.37,238.2,246.95,349795.0
2018-06-13 09:15:00,248.44,249.98,243.0,243.93,177275.0
2018-06-14 09:15:00,242.4,251.74,241.04,249.94,261770.0
2018-06-15 09:15:00,251.8,255.6,243.94,249.56,272440.0
2018-06-18 09:15:00,247.94,247.94,236.8,240.14,682300.0
2018-06-19 09:15:00,239.79,241.0,233.23,238.01,402220.0
2018-06-20 09:15:00,239.44,240.36,238.33,239.95,306840.0
2018-06-21 09:15:00,239.72,241.84,232.2,238.0,308090.0
2018-06-22 09:15:00,238.0,244.07,236.0,239.88,370890.0
2018-06-25 09:15:00,239.8,244.0,231.12,234.11,172000.0
2018-06-26 09:15:00,236.2,257.4,236.2,242.14,2720325.0
2018-06-27 09:15:00,240.8,242.0,233.02,236.36,289085.0
2018-06-28 09:15:00,235.8,235.8,227.0,229.58,444895.0
2018-06-29 09:15:00,229.6,238.57,225.23,237.27,1213770.0
2018-07-02 09:15:00,237.27,243.96,229.58,238.94,558480.0
2018-07-03 09:15:00,242.6,242.6,231.0,233.95,256515.0
2018-07-04 09:15:00,233.99,237.35,230.47,232.73,570710.0
2018-07-05 09:15:00,234.47,248.68,230.89,246.05,1012030.0
2018-07-06 09:15:00,246.2,250.41,239.77,243.38,687745.0
2018-07-09 09:15:00,246.0,251.74,243.0,250.09,649475.0
2018-07-10 09:15:00,252.4,264.97,250.09,260.5,907240.0
2018-07-11 09:15:00,259.49,275.0,257.06,265.85,1765170.0
2018-07-12 09:15:00,267.84,268.88,258.48,262.76,202240.0
2018-07-13 09:15:00,262.8,267.49,254.25,257.62,222115.0
2018-07-16 09:15:00,263.2,263.2,246.0,249.27,260870.0
2018-07-17 09:15:00,250.6,258.0,250.2,253.52,263150.0
2018-07-18 09:15:00,253.0,272.0,250.0,269.84,1191605.0
2018-07-19 09:15:00,264.77,267.8,256.47,259.63,244540.0
2018-07-20 09:15:00,258.8,258.8,250.03,253.4,387180.0
2018-07-23 09:15:00,253.9,275.8,252.4,268.1,1107515.0
2018-07-24 09:15:00,269.8,283.0,267.0,270.76,1744785.0
2018-07-25 09:15:00,272.79,300.0,272.79,294.73,1867660.0
2018-07-26 09:15:00,292.2,292.8,271.62,279.03,1169320.0
2018-07-27 09:15:00,280.79,281.11,275.81,279.48,859345.0
2018-07-30 09:15:00,280.6,280.6,261.0,269.97,4261945.0
2018-07-31 09:15:00,270.0,276.98,266.85,273.38,607955.0
2018-08-01 09:15:00,274.0,276.0,268.12,274.7,225445.0
2018-08-02 09:15:00,276.0,276.0,270.48,272.57,142915.0
2018-08-03 09:15:00,274.0,280.4,269.36,273.02,519695.0
2018-08-06 09:15:00,275.06,280.97,274.66,279.65,584020.0
2018-08-07 09:15:00,281.98,295.93,279.4,291.8,587945.0
2018-08-08 09:15:00,290.0,301.6,287.6,296.45,691990.0
2018-08-09 09:15:00,296.2,302.96,292.21,293.91,432385.0
2018-08-10 09:15:00,296.11,299.76,294.01,297.28,147250.0
2018-08-13 09:15:00,297.28,297.28,292.29,294.18,195605.0
2018-08-14 09:15:00,292.0,296.94,291.2,295.16,222995.0
2018-08-16 09:15:00,294.4,295.6,284.0,285.52,190565.0
2018-08-17 09:15:00,287.0,298.96,286.4,297.38,674175.0
2018-08-20 09:15:00,298.0,299.18,294.0,296.18,97805.0
2018-08-21 09:15:00,297.96,307.0,290.6,303.07,395885.0
2018-08-23 09:15:00,306.2,326.96,304.0,321.33,1197905.0
2018-08-24 09:15:00,320.0,324.0,312.81,313.97,307055.0
2018-08-27 09:15:00,316.32,331.2,307.0,319.17,2007610.0
2018-08-28 09:15:00,310.0,317.96,303.99,309.28,1504520.0
2018-08-29 09:15:00,311.0,323.76,308.03,315.2,2963195.0
2018-08-30 09:15:00,311.8,316.0,308.0,312.84,259400.0
2018-08-31 09:15:00,314.8,335.6,312.1,327.6,1100010.0
2018-09-03 09:15:00,328.6,338.4,327.6,332.2,768090.0
2018-09-04 09:15:00,333.33,339.58,331.62,333.73,1351070.0
2018-09-05 09:15:00,335.4,335.4,326.05,328.76,586980.0
2018-09-06 09:15:00,331.4,333.96,324.23,327.39,298335.0
2018-09-07 09:15:00,326.97,328.0,318.07,325.28,907840.0
