date,open,high,low,close,volume
1994-11-01 09:15:00,12.48,12.48,11.13,11.6,117600.0
1994-12-01 09:15:00,11.23,11.52,10.63,11.02,259200.0
1995-01-02 09:15:00,10.81,11.44,10.5,11.44,182400.0
1995-02-01 09:15:00,11.42,11.85,10.4,11.33,568800.0
1995-03-01 09:15:00,11.44,12.06,10.81,12.06,396000.0
1995-04-03 09:15:00,11.98,13.52,11.96,12.42,729600.0
1995-05-01 09:15:00,12.27,13.73,11.96,13.28,1732800.0
1995-06-01 09:15:00,13.1,13.62,13.0,13.27,645600.0
1995-07-03 09:15:00,13.1,14.68,11.98,13.73,655200.0
1995-08-01 09:15:00,13.31,14.45,13.31,13.52,434400.0
1995-09-01 09:15:00,13.52,13.73,12.79,13.2,909600.0
1995-10-02 09:15:00,13.21,13.83,13.02,13.21,5246398.0
1995-11-01 09:15:00,13.14,13.21,10.5,11.69,819600.0
1995-12-01 09:15:00,11.94,13.73,11.94,13.43,1050000.0
1996-01-01 09:15:00,13.43,14.13,12.69,13.51,1030800.0
1996-02-01 09:15:00,13.73,16.55,12.96,14.98,10511996.0
1996-03-01 09:15:00,14.98,15.18,13.39,14.27,1276800.0
1996-04-01 09:15:00,14.27,19.76,14.18,19.51,5456400.0
1996-05-01 09:15:00,19.51,19.59,15.85,17.02,2185200.0
1996-06-03 09:15:00,17.02,19.63,16.64,18.18,8297997.0
1996-07-01 09:15:00,18.3,18.3,14.56,15.44,7120799.0
1996-08-01 09:15:00,15.72,15.72,14.64,15.3,1845600.0
1996-09-02 09:15:00,15.46,16.35,13.74,13.91,2872799.0
1996-10-01 09:15:00,14.17,14.35,11.7,13.48,1678800.0
1996-11-01 09:15:00,13.4,13.74,11.27,11.44,2286000.0
1996-12-02 09:15:00,11.37,12.47,10.32,12.0,2785200.0
1997-01-01 09:15:00,12.15,13.04,11.31,11.65,9704398.0
1997-02-03 09:15:00,11.56,12.22,11.23,12.1,4099199.0
1997-03-03 09:15:00,12.89,13.81,11.57,11.62,3698400.0
1997-04-01 09:15:00,11.62,12.81,11.5,12.59,5239199.0
1997-05-01 09:15:00,12.52,12.69,12.15,12.48,1480800.0
1997-06-02 09:15:00,12.41,14.93,11.86,14.55,9914398.0
1997-07-01 09:15:00,14.77,15.6,13.93,15.14,15392396.0
1997-08-01 09:15:00,15.1,15.89,12.19,12.65,128985539.99999999
1997-09-01 09:15:00,12.77,14.56,12.39,12.51,5136000.0
1997-10-01 09:15:00,12.41,13.81,11.85,12.46,13676396.0
1997-11-03 09:15:00,12.6,12.6,10.9,11.58,13628396.0
1997-12-01 09:15:00,11.4,12.69,11.4,12.64,2541600.0
1998-01-01 09:15:00,12.64,12.73,11.77,12.27,1815600.0
1998-02-02 09:15:00,12.23,12.89,11.15,12.64,2818800.0
1998-03-02 09:15:00,12.69,13.6,11.98,12.73,6184800.0
1998-04-01 09:15:00,13.1,15.97,11.65,13.03,8044800.0
1998-05-01 09:15:00,13.02,13.79,11.9,12.35,3691200.0
1998-06-01 09:15:00,12.44,12.48,8.28,10.16,9471599.0
1998-07-01 09:15:00,10.07,12.56,9.77,12.45,7513200.0
1998-08-03 09:15:00,12.19,13.31,11.11,12.08,5519999.0
1998-09-01 09:15:00,12.15,12.76,11.85,12.48,2397600.0
1998-10-01 09:15:00,12.06,12.69,10.81,12.27,4434000.0
1998-11-02 09:15:00,12.27,12.61,11.85,12.4,6952800.0
1998-12-01 09:15:00,12.42,13.0,11.5,11.84,4740000.0
1999-01-01 09:15:00,11.75,13.5,10.66666667,10.95833333,7023600.0
1999-02-01 09:15:00,10.75,11.04166667,9.66666667,9.875,3939360.0
1999-03-01 09:15:00,10.5,11.78541708,10.0,10.20833333,5238816.0
1999-04-01 09:15:00,10.41666667,10.65000042,8.16666667,8.66249958,3673512.0
1999-05-03 09:15:00,8.66666667,10.375,8.54166667,9.95625,5098704.0
1999-06-01 09:15:00,10.61666667,13.875,10.15000042,12.94583375,9946968.0
