date,open,high,low,close,volume
2016-10-03 09:15:00,622.92,637.0,609.0,610.86,4483440.0
2016-10-10 09:15:00,610.8,619.76,604.32,606.25,5585860.0
2016-10-17 09:15:00,606.0,628.6,602.4,622.72,4926240.0
2016-10-24 09:15:00,624.0,679.98,613.7,672.69,15598940.0
2016-11-01 09:15:00,665.6,672.35,613.36,615.94,7522295.0
2016-11-07 09:15:00,624.8,668.2,592.01,651.25,9222400.0
2016-11-15 09:15:00,651.3,670.99,628.42,642.97,5533965.0
2016-11-21 09:15:00,638.82,640.73,615.07,633.69,6835945.0
2016-11-28 09:15:00,634.1,649.45,630.36,636.1,8023095.0
2016-12-05 09:15:00,639.5,648.31,623.71,637.28,5270740.0
2016-12-12 09:15:00,637.8,637.8,620.29,621.56,2816150.0
2016-12-19 09:15:00,622.0,623.0,596.02,599.71,5492245.0
2016-12-26 09:15:00,598.0,622.35,595.82,612.08,3786735.0
2017-01-02 09:15:00,613.2,640.77,613.15,631.83,5199915.0
2017-01-09 09:15:00,630.8,630.8,588.6,595.95,7176315.0
2017-01-16 09:15:00,599.8,601.4,584.0,589.48,6363210.0
2017-01-23 09:15:00,587.8,602.31,580.8,598.91,4792055.0
2017-01-30 09:15:00,598.0,631.8,588.82,628.91,6921160.0
2017-02-06 09:15:00,634.0,635.4,594.0,595.21,7883810.0
2017-02-13 09:15:00,596.19,597.65,559.79,582.54,14438685.0
2017-02-20 09:15:00,584.48,587.02,575.0,577.48,18443255.0
2017-02-27 09:15:00,576.94,589.76,569.0,574.22,14363780.0
2017-03-06 09:15:00,576.8,576.8,540.0,543.17,17660865.0
2017-03-14 09:15:00,549.34,553.0,543.34,547.25,7254955.0
2017-03-20 09:15:00,548.4,549.2,511.04,525.67,17010985.0
2017-03-27 09:15:00,523.4,529.81,521.22,526.47,9252890.0
2017-04-03 09:15:00,528.96,554.0,525.42,532.27,11676605.0
2017-04-10 09:15:00,531.0,534.15,523.06,528.19,3676940.0
2017-04-17 09:15:00,544.0,544.7,520.5,521.93,5706790.0
2017-04-24 09:15:00,523.93,530.32,516.71,519.83,6379555.0
2017-05-02 09:15:00,515.6,525.0,513.2,520.6,3048650.0
2017-05-08 09:15:00,518.3,524.58,504.39,516.16,10121015.0
2017-05-15 09:15:00,520.0,552.0,518.4,531.29,11700620.0
2017-05-22 09:15:00,536.0,536.39,479.6,482.88,11672730.0
2017-05-29 09:15:00,486.02,514.96,476.07,510.9,11926860.0
2017-06-05 09:15:00,508.63,533.25,503.2,525.76,8478320.0
2017-06-12 09:15:00,525.26,544.19,522.41,536.52,10441870.0
2017-06-19 09:15:00,534.4,539.98,522.96,528.74,6110705.0
2017-06-27 09:15:00,526.05,542.2,525.03,538.02,4835350.0
2017-07-03 09:15:00,540.0,545.9,522.06,541.08,5000765.0
2017-07-10 09:15:00,542.2,549.1,533.73,540.6,3733825.0
2017-07-17 09:15:00,539.48,556.96,536.46,552.51,6690055.0
2017-07-24 09:15:00,557.0,557.4,490.22,492.99,22195910.0
2017-07-31 09:15:00,487.6,491.6,446.02,447.91,25669145.0
2017-08-07 09:15:00,448.0,451.4,380.23,402.23,33099880.0
2017-08-14 09:15:00,400.0,407.98,394.01,396.4,11974170.0
2017-08-21 09:15:00,398.0,420.0,384.22,417.63,15627110.0
2017-08-28 09:15:00,416.8,446.6,401.2,443.51,31521945.0
2017-09-04 09:15:00,446.8,447.28,413.23,432.5,20994160.0
2017-09-11 09:15:00,433.8,452.99,427.08,442.24,15023355.0
2017-09-18 09:15:00,440.8,505.35,435.12,491.55,43397825.0
2017-09-25 09:15:00,492.8,495.0,454.44,465.75,36101245.0
2017-10-03 09:15:00,483.0,485.68,463.91,475.17,17300530.0
2017-10-09 09:15:00,476.0,486.6,470.0,470.89,10787805.0
2017-10-16 09:15:00,471.2,482.2,471.2,474.61,5370925.0
2017-10-23 09:15:00,478.02,483.0,463.0,478.99,8692515.0
2017-10-30 09:15:00,479.2,500.8,469.6,483.82,28910885.0
2017-11-06 09:15:00,482.8,484.0,467.5,469.57,8950110.0
2017-11-13 09:15:00,470.94,475.0,458.6,464.52,6802730.0
2017-11-20 09:15:00,467.4,498.8,452.03,459.01,21180915.0
2017-11-27 09:15:00,459.2,463.98,444.5,446.78,15548465.0
2017-12-04 09:15:00,455.0,455.0,435.87,437.09,7301810.0
2017-12-11 09:15:00,439.74,476.0,434.2,474.3,19207335.0
2017-12-18 09:15:00,473.0,485.6,466.0,466.54,8844140.0
2017-12-26 09:15:00,466.99,489.68,465.8,482.84,11005515.0
2018-01-01 09:15:00,482.0,495.8,458.42,494.68,12890685.0
2018-01-08 09:15:00,494.0,502.4,482.73,489.53,8574810.0
2018-01-15 09:15:00,489.4,506.8,485.01,498.07,8679180.0
2018-01-22 09:15:00,488.0,523.0,488.0,501.55,26004065.0
2018-01-29 09:15:00,489.79,490.4,422.01,424.71,25422215.0
2018-02-05 09:15:00,422.04,441.6,401.11,438.76,15668895.0
2018-02-12 09:15:00,438.94,448.0,435.12,442.71,7982705.0
2018-02-19 09:15:00,444.6,446.79,417.31,433.41,20690775.0
2018-02-26 09:15:00,424.0,453.39,418.0,446.3,16422275.0
2018-03-05 09:15:00,445.96,447.98,419.0,425.98,12267075.0
2018-03-12 09:15:00,432.0,443.68,423.66,428.43,11232970.0
2018-03-19 09:15:00,431.0,435.97,412.04,414.46,9666895.0
2018-03-26 09:15:00,414.4,423.8,410.06,416.11,7452470.0
