version,stock,entry_date,exit_date,entry_price,exit_price,shares,capital,pnl_rs,pnl_pct,exit_reason,trail_activated,weeks_held,mansfield_rs_at_entry,rs_rising_at_entry,vol_ratio_at_entry
v2,UNITDSPR,2017-11-13,2018-01-08,637.11,761.85,62,40000,7733.88,19.58,Trailing Stop,True,8,18.91,True,0.97
v2,SOLARINDS,2017-11-13,2018-01-15,1160.45,1137.45,34,40000,-782.0,-1.98,Structure Break,False,9,47.03,True,0.72
v2,UNOMINDA,2017-11-13,2017-12-04,174.62,186.86,229,40000,2802.57,7.01,Trailing Stop,True,3,143.9,True,2.03
v2,COFORGE,2017-11-20,2018-01-29,131.79,158.0,303,40000,7941.63,19.89,Trailing Stop,True,10,32.73,True,0.53
v2,TRENT,2017-11-20,2018-01-29,343.15,314.6,116,40000,-3311.8,-8.32,Structure Break,False,10,42.26,True,1.9
v2,PRESTIGE,2017-11-20,2017-12-04,316.4,308.55,126,40000,-989.1,-2.48,Trailing Stop,True,2,41.66,True,1.9
v2,TATACONSUM,2017-11-20,2018-01-15,275.34,304.63,145,40000,4247.38,10.64,Trailing Stop,True,8,78.35,True,1.58
v2,TATAELXSI,2017-11-20,2018-01-29,951.4,993.05,42,40000,1749.3,4.38,Structure Break,True,10,24.32,True,1.89
v2,JSWENERGY,2017-11-20,2018-01-15,84.2,91.7,475,40000,3562.5,8.91,Trailing Stop,True,8,9.01,True,0.59
v2,TITAN,2017-11-20,2018-01-29,829.3,822.2,48,40000,-340.8,-0.86,Structure Break,True,10,82.41,True,1.57
v2,VOLTAS,2017-11-20,2018-01-08,623.55,633.95,64,40000,665.6,1.67,Trailing Stop,True,7,40.58,True,0.91
v2,HAVELLS,2017-11-20,2018-01-15,519.5,547.6,76,40000,2135.6,5.41,Trailing Stop,True,8,9.21,True,0.66
v2,JUBLFOOD,2017-11-20,2017-12-04,180.33,166.11,221,40000,-3142.62,-7.89,Structure Break,False,2,52.49,True,0.5
v2,BIOCON,2017-11-27,2018-03-05,223.62,297.58,178,40000,13163.1,33.07,Trailing Stop,True,14,24.89,True,1.7
v2,PIDILITIND,2017-11-27,2017-12-11,427.73,431.45,93,40000,346.43,0.87,Trailing Stop,True,2,6.32,True,1.15
v2,MARUTI,2017-12-04,2018-01-01,9042.25,9433.85,4,40000,1566.4,4.33,Trailing Stop,True,4,43.65,True,1.38
v2,MOTHERSON,2017-12-04,2018-01-22,82.45,81.97,485,40000,-230.93,-0.58,Structure Break,True,7,51.22,True,1.62
v2,BHARTIARTL,2017-12-04,2018-01-15,473.21,448.65,84,40000,-2062.6,-5.19,Structure Break,False,6,35.98,True,0.72
v2,DLF,2017-12-04,2018-01-15,238.4,249.3,167,40000,1820.3,4.57,Trailing Stop,True,6,61.09,True,0.98
v2,MOTILALOFS,2017-12-11,2018-01-15,350.85,354.93,114,40000,464.55,1.16,Structure Break,True,5,122.95,True,1.37
v2,OFSS,2017-12-11,2018-02-05,3909.7,4069.15,10,40000,1594.5,4.08,Trailing Stop,True,8,0.77,True,1.2
v2,ADANIPORTS,2017-12-11,2018-01-29,401.35,417.95,99,40000,1643.4,4.14,Trailing Stop,True,7,18.91,True,1.32
v2,CONCOR,2017-12-18,2018-01-29,436.13,428.06,91,40000,-733.82,-1.85,Structure Break,True,6,15.54,True,0.67
v2,PAGEIND,2017-12-18,2018-01-01,24668.3,24454.85,1,40000,-213.45,-0.87,Trailing Stop,True,2,46.56,True,2.18
v2,BPCL,2017-12-18,2018-01-01,267.58,243.85,149,40000,-3535.03,-8.87,Structure Break,False,2,1.73,True,1.04
v2,JINDALSTEL,2017-12-18,2018-01-29,184.6,250.55,216,40000,14245.2,35.73,Trailing Stop,True,6,111.08,True,1.27
v2,MANAPPURAM,2017-12-18,2018-01-15,116.8,119.65,342,40000,974.7,2.44,Trailing Stop,True,4,23.31,True,3.15
v2,MUTHOOTFIN,2017-12-18,2018-01-15,463.4,434.25,86,40000,-2506.9,-6.29,Structure Break,False,4,20.86,True,1.28
