version,stock,total_trades,winners,losers,win_rate_pct,total_pnl_rs,avg_win_pct,avg_loss_pct,avg_weeks_held
v3,360ONE,21,14,7,66.7,25370.61,9.23,-9.26,7.6
v3,ABB,37,20,17,54.1,30659.93,10.79,-8.01,6.3
v3,ABCAPITAL,32,22,10,68.8,24887.06,9.71,-15.12,6.7
v3,ADANIENSOL,29,22,7,75.9,132054.25,19.41,-13.28,7.6
v3,ADANIENT,35,24,11,68.6,160831.78,22.11,-11.3,6.9
v3,ADANIGREEN,28,17,11,60.7,170992.25,35.19,-15.43,7.1
v3,ADANIPORTS,36,21,15,58.3,23483.35,9.82,-9.82,6.9
v3,ADANIPOWER,33,21,12,63.6,172586.9,26.63,-10.62,6.0
v3,ALKEM,27,15,12,55.6,24202.4,10.9,-8.44,9.6
v3,AMBER,26,18,8,69.2,82296.35,14.04,-4.9,7.1
v3,AMBUJACEM,33,18,15,54.5,-7740.0,7.25,-10.01,7.3
v3,ANGELONE,16,10,6,62.5,28810.97,14.87,-12.76,6.5
v3,APLAPOLLO,31,22,9,71.0,81571.32,14.06,-11.6,7.7
v3,APOLLOHOSP,32,18,14,56.2,48795.55,11.8,-6.02,8.2
v3,ASHOKLEY,34,17,17,50.0,20672.6,9.55,-6.51,6.9
v3,ASIANPAINT,27,19,8,70.4,34526.75,7.42,-6.46,9.9
v3,ASTRAL,32,22,10,68.8,48207.89,9.28,-8.2,7.4
v3,AUBANK,28,20,8,71.4,80235.83,13.4,-8.32,7.2
v3,AXISBANK,30,18,12,60.0,9706.05,7.02,-8.51,8.6
v3,BAJAJFINSV,33,20,13,60.6,61993.42,12.56,-7.34,7.3
v3,BAJAJHLDNG,27,19,8,70.4,36125.25,8.26,-7.75,8.4
v3,BAJAJ_AUTO,29,18,11,62.1,35454.65,8.72,-6.01,9.1
v3,BAJFINANCE,31,17,14,54.8,69567.0,16.82,-7.96,8.3
v3,BANDHANBNK,25,14,11,56.0,-1279.91,11.28,-14.67,6.8
v3,BANKBARODA,33,21,12,63.6,34483.42,11.3,-12.58,6.9
v3,BANKINDIA,34,22,12,64.7,37520.43,12.69,-15.46,5.5
v3,BDL,33,18,15,54.5,39724.52,16.16,-12.82,6.3
v3,BEL,34,21,13,61.8,36829.24,12.45,-13.02,6.8
v3,BHARATFORG,34,18,16,52.9,24873.5,10.75,-8.12,6.2
v3,BHARTIARTL,30,24,6,80.0,36391.39,6.09,-9.04,8.3
v3,BHEL,38,24,14,63.2,29740.27,10.68,-12.98,5.1
v3,BIOCON,32,16,16,50.0,11494.54,8.66,-6.86,7.0
v3,BLUESTARCO,34,24,10,70.6,35124.86,7.36,-8.89,6.8
v3,BOSCHLTD,30,17,13,56.7,12478.85,10.85,-9.68,6.9
v3,BPCL,32,15,17,46.9,-2386.74,11.45,-10.46,7.5
v3,BRITANNIA,30,16,14,53.3,18725.82,7.64,-5.28,7.7
v3,BSE,39,25,14,64.1,100738.87,16.21,-10.78,5.5
v3,CAMS,17,9,8,52.9,-10728.96,4.47,-8.42,7.3
v3,CANBK,35,18,17,51.4,19241.96,13.89,-11.87,6.5
v3,CDSL,28,20,8,71.4,91213.2,14.98,-8.7,7.7
v3,CGPOWER,35,29,6,82.9,154976.95,15.45,-9.99,5.9
v3,CHOLAFIN,35,22,13,62.9,38546.78,10.23,-9.89,7.3
v3,CIPLA,25,16,9,64.0,33181.4,9.21,-7.07,10.2
v3,COALINDIA,35,18,17,51.4,-5680.65,7.34,-8.62,6.4
v3,COCHINSHIP,24,19,5,79.2,129617.93,18.97,-6.31,6.6
v3,COFORGE,37,26,11,70.3,68052.33,11.02,-10.58,6.3
v3,COLPAL,25,16,9,64.0,40809.75,11.16,-8.29,9.6
v3,CONCOR,30,18,12,60.0,24409.89,8.18,-7.13,7.0
v3,CROMPTON,29,18,11,62.1,1256.84,6.47,-10.33,7.9
v3,CUMMINSIND,34,24,10,70.6,67938.9,11.27,-9.68,6.3
v3,DABUR,32,19,13,59.4,3811.15,5.39,-7.14,7.3
v3,DALBHARAT,33,14,19,42.4,-4115.15,12.06,-9.51,7.2
v3,DIVISLAB,35,20,15,57.1,13016.9,7.92,-8.43,7.7
v3,DIXON,29,21,8,72.4,101497.22,16.27,-9.57,8.5
v3,DLF,33,20,13,60.6,70269.9,13.44,-7.09,6.1
v3,DMART,28,17,11,60.7,22631.3,10.0,-10.51,8.4
v3,DRREDDY,32,16,16,50.0,5580.83,8.6,-7.74,8.1
v3,EICHERMOT,32,21,11,65.6,21663.33,8.42,-11.1,7.7
v3,ETERNAL,18,15,3,83.3,31462.5,7.74,-12.43,5.8
v3,FEDERALBNK,32,18,14,56.2,20212.1,9.29,-8.33,7.3
v3,FORCEMOT,23,13,10,56.5,65826.9,23.43,-13.37,6.6
v3,FORTIS,33,20,13,60.6,6764.41,8.05,-11.06,7.0
v3,GAIL,34,18,16,52.9,-8841.71,7.06,-9.33,6.7
v3,GLENMARK,32,20,12,62.5,49958.3,12.75,-10.78,8.1
v3,GMRAIRPORT,32,16,16,50.0,47649.17,14.61,-7.16,7.4
v3,GODFRYPHLP,32,18,14,56.2,47956.83,16.03,-12.02,6.9
v3,GODREJCP,33,15,18,45.5,-4017.65,7.82,-7.06,7.8
v3,GODREJPROP,34,21,13,61.8,46315.55,11.68,-9.82,6.4
v3,GRASIM,36,21,15,58.3,7133.46,7.98,-10.01,7.4
v3,HAL,31,22,9,71.0,60744.8,11.35,-10.66,5.5
v3,HAVELLS,33,16,17,48.5,3990.3,10.39,-9.21,7.4
v3,HCLTECH,33,22,11,66.7,33038.9,8.16,-8.65,6.9
v3,HDFCAMC,27,15,12,55.6,13454.16,8.89,-8.35,7.0
v3,HDFCBANK,32,16,16,50.0,1685.72,5.49,-5.24,8.2
v3,HDFCLIFE,27,13,14,48.1,187.25,8.76,-8.09,7.6
v3,HEROMOTOCO,30,16,14,53.3,17670.9,8.73,-6.62,7.3
v3,HINDALCO,36,21,15,58.3,38488.0,9.76,-7.22,6.3
v3,HINDUNILVR,31,16,15,51.6,13090.27,7.43,-5.62,8.1
v3,HINDZINC,35,13,22,37.1,-10344.75,11.74,-8.12,6.8
v3,HYUNDAI,2,0,2,0.0,-5175.6,0.0,-6.58,2.0
v3,ICICIBANK,35,18,17,51.4,20108.9,8.92,-6.47,7.5
v3,ICICIGI,25,11,14,44.0,15310.2,11.6,-6.37,8.4
v3,ICICIPRULI,37,20,17,54.1,-923.65,8.09,-9.66,5.5
v3,IDFCFIRSTB,31,21,10,67.7,31152.36,10.9,-15.1,6.5
v3,IEX,30,15,15,50.0,21708.19,14.53,-10.9,6.2
v3,INDHOTEL,31,17,14,54.8,37259.53,13.84,-10.16,7.7
v3,INDIANB,36,21,15,58.3,63351.94,14.33,-9.44,6.2
v3,INDIGO,27,18,9,66.7,33942.7,10.09,-10.53,9.4
v3,INDUSINDBK,33,19,14,57.6,23912.35,10.9,-10.51,7.5
v3,INDUSTOWER,30,13,17,43.3,2667.1,12.25,-8.99,6.3
v3,INFY,34,23,11,67.6,28972.5,7.72,-9.51,8.3
v3,INOXWIND,31,17,14,54.8,100889.71,23.97,-11.09,6.5
v3,IOC,33,16,17,48.5,3708.44,10.06,-8.93,6.4
v3,IREDA,6,2,4,33.3,-12347.18,6.76,-11.13,5.3
v3,IRFC,14,10,4,71.4,82899.57,24.72,-9.96,6.1
v3,ITC,28,14,14,50.0,20080.42,9.28,-5.68,8.0
v3,JINDALSTEL,34,25,9,73.5,84978.25,12.45,-10.85,6.8
v3,JIOFIN,6,3,3,50.0,-3762.7,8.03,-11.18,6.8
v3,JSWENERGY,30,20,10,66.7,57963.35,14.42,-14.28,7.4
v3,JUBLFOOD,37,24,13,64.9,12732.37,6.46,-9.48,5.5
v3,KALYANKJIL,17,11,6,64.7,33377.45,12.89,-9.67,6.5
v3,KAYNES,11,9,2,81.8,42507.0,14.46,-8.71,6.1
v3,KEI,34,21,13,61.8,57444.7,12.33,-8.61,7.6
v3,KFINTECH,8,6,2,75.0,33194.05,17.18,-9.82,7.1
v3,KOTAKBANK,28,15,13,53.6,18674.78,8.96,-6.72,9.4
v3,KPITTECH,25,15,10,60.0,76878.74,20.69,-11.78,6.4
v3,LAURUSLABS,30,21,9,70.0,77542.41,13.16,-9.1,7.5
v3,LICHSGFIN,34,21,13,61.8,16334.05,6.62,-7.56,5.9
v3,LICI,11,5,6,45.5,-308.8,13.37,-11.28,6.9
v3,LODHA,18,7,11,38.9,-7752.27,15.38,-11.6,6.7
v3,LT,30,18,12,60.0,26876.3,8.33,-6.86,8.9
v3,LTF,34,19,15,55.9,15132.82,9.61,-9.66,6.6
v3,LTM,32,22,10,68.8,71249.7,12.18,-8.52,7.8
v3,LUPIN,27,17,10,63.0,32460.3,10.13,-9.11,9.8
v3,MANAPPURAM,32,21,11,65.6,40916.96,9.93,-9.65,6.8
v3,MANKIND,8,3,5,37.5,-6355.2,6.2,-7.05,5.6
v3,MARICO,30,16,14,53.3,12623.25,7.37,-6.16,9.2
v3,MARUTI,30,16,14,53.3,20650.5,9.6,-6.89,8.8
v3,MAXHEALTH,16,8,8,50.0,9444.1,8.99,-6.03,9.1
v3,MAZDOCK,13,9,4,69.2,191910.66,56.91,-7.07,9.7
v3,MCX,36,20,16,55.6,51074.14,13.81,-9.24,7.2
v3,MFSL,32,18,14,56.2,-1683.7,8.93,-11.83,8.0
v3,MM,32,21,11,65.6,40203.85,10.62,-10.98,8.8
v3,MOTHERSON,32,17,15,53.1,46249.55,14.3,-8.49,6.9
v3,MOTILALOFS,32,21,11,65.6,47185.43,9.68,-7.7,6.1
v3,MPHASIS,30,11,19,36.7,18415.7,18.37,-8.19,9.2
v3,MUTHOOTFIN,31,21,10,67.7,49419.85,9.67,-7.85,7.8
v3,M_M,32,21,11,65.6,40203.85,10.62,-10.98,8.8
v3,NAM_INDIA,29,19,10,65.5,36397.5,9.75,-9.4,7.8
v3,NATIONALUM,32,20,12,62.5,56527.3,12.71,-9.39,7.0
v3,NAUKRI,31,20,11,64.5,31008.91,9.49,-10.23,7.3
v3,NBCC,37,23,14,62.2,52129.87,13.4,-12.69,5.3
v3,NESTLEIND,28,17,11,60.7,36532.99,9.0,-5.59,9.3
v3,NHPC,26,18,8,69.2,32434.04,7.36,-6.42,8.3
v3,NMDC,30,19,11,63.3,56661.23,13.13,-9.79,7.4
v3,NTPC,30,18,12,60.0,21465.09,8.29,-7.95,7.9
v3,NUVAMA,5,3,2,60.0,-5958.13,6.23,-16.68,7.0
v3,NYKAA,12,6,6,50.0,-5153.79,9.93,-12.09,7.8
v3,OBEROIRLTY,32,22,10,68.8,21700.7,7.69,-11.47,7.7
v3,OFSS,26,16,10,61.5,35323.05,11.56,-8.23,9.1
v3,OIL,27,17,10,63.0,41350.83,11.67,-9.44,7.7
