version,stock,entry_date,exit_date,entry_price,exit_price,shares,capital,pnl_rs,pnl_pct,exit_reason,trail_activated,weeks_held,mansfield_rs_at_entry,vol_ratio_at_entry
v3,ADANIPOWER,2017-10-23,2017-11-27,6.53,6.83,6125,40000,1837.5,4.59,Trailing Stop,True,5,6.21,1.31
v3,NATIONALUM,2017-10-23,2018-01-29,92.1,70.0,434,40000,-9591.4,-24.0,Structure Break,False,14,58.04,1.53
v3,CANBK,2017-10-23,2017-12-11,80.83,71.08,494,40000,-4816.5,-12.06,Structure Break,False,7,6.54,8.35
v3,JUBLFOOD,2017-10-23,2017-11-27,162.23,175.27,246,40000,3207.84,8.04,Trailing Stop,True,5,28.51,2.12
v3,BANKINDIA,2017-10-23,2017-11-06,181.05,196.35,220,40000,3366.0,8.45,Trailing Stop,True,2,30.43,4.36
v3,BANKBARODA,2017-10-23,2017-11-20,174.4,176.85,229,40000,561.05,1.4,Trailing Stop,True,4,-10.32,4.5
v3,ICICIBANK,2017-10-23,2017-11-20,301.15,317.2,132,40000,2118.6,5.33,Trailing Stop,True,4,11.37,4.26
v3,PFC,2017-10-23,2017-11-27,116.32,95.28,343,40000,-7216.72,-18.09,Structure Break,False,5,-0.44,2.24
v3,UNITDSPR,2017-10-23,2018-01-08,605.15,761.85,66,40000,10342.2,25.89,Trailing Stop,True,11,2.97,5.78
v3,TVSMOTOR,2017-10-23,2018-01-08,715.8,750.4,55,40000,1903.0,4.83,Trailing Stop,True,11,56.16,0.79
v3,VEDL,2017-10-23,2017-11-13,339.85,307.6,117,40000,-3773.25,-9.49,Structure Break,False,3,46.95,0.99
v3,TATAPOWER,2017-10-23,2017-11-27,85.1,90.25,470,40000,2420.5,6.05,Trailing Stop,True,5,-11.15,0.86
v3,LT,2017-10-23,2018-02-05,1224.65,1329.25,32,40000,3347.2,8.54,Trailing Stop,True,15,6.23,1.94
v3,SAIL,2017-10-23,2017-11-06,79.95,81.2,500,40000,625.0,1.56,Trailing Stop,True,2,34.86,7.13
v3,NMDC,2017-10-23,2018-01-08,33.1,39.7,1208,40000,7969.79,19.93,Trailing Stop,True,11,-7.59,1.75
v3,BAJAJHLDNG,2017-10-23,2018-02-05,2977.4,2693.8,13,40000,-3686.8,-9.53,Structure Break,False,15,22.14,0.64
v3,INDIANB,2017-10-23,2017-11-27,306.45,391.55,130,40000,11063.0,27.77,Trailing Stop,True,5,16.91,4.44
v3,SBIN,2017-10-23,2017-11-27,311.05,312.75,128,40000,217.6,0.55,Trailing Stop,True,5,1.3,7.52
v3,INDIGO,2017-10-23,2017-11-27,1202.45,1130.65,33,40000,-2369.4,-5.97,Structure Break,False,5,6.65,0.89
v3,SHRIRAMFIN,2017-10-23,2017-11-06,225.94,244.66,177,40000,3314.45,8.29,Trailing Stop,True,2,-17.97,1.48
v3,BHEL,2017-10-23,2017-11-06,95.15,92.5,420,40000,-1113.0,-2.79,Trailing Stop,True,2,-11.06,3.02
v3,PAGEIND,2017-10-23,2017-11-20,19979.25,22579.7,2,40000,5200.9,13.02,Trailing Stop,True,4,9.43,1.3
v3,ADANIENT,2017-10-23,2017-11-20,72.53,85.54,551,40000,7165.84,17.93,Trailing Stop,True,4,61.37,0.69
v3,BHARATFORG,2017-10-23,2017-11-27,671.45,684.45,59,40000,767.0,1.94,Trailing Stop,True,5,18.29,0.89
v3,INOXWIND,2017-10-23,2017-12-26,31.32,35.56,1277,40000,5413.06,13.53,Trailing Stop,True,9,-49.96,3.37
v3,INFY,2017-10-23,2017-11-27,473.17,479.4,84,40000,522.9,1.32,Trailing Stop,True,5,-21.25,0.97
v3,ULTRACEMCO,2017-10-23,2018-01-29,4439.85,4179.45,9,40000,-2343.6,-5.87,Structure Break,False,14,-4.91,2.26
v3,SIEMENS,2017-10-23,2017-11-13,659.99,619.46,60,40000,-2432.04,-6.14,Structure Break,False,3,-13.87,1.18
